"","X","adult","belongs_to_collection","budget","Genre_1","Genre_2","Genre_3","Genre_4","Genre_5","Genre_6","Genre_7","Genre_8","Genre_9","Genre_10","homepage","id","imdb_id","original_language","original_title","overview","popularity","poster_path","Production_Company_1","Production_Company_2","Production_Company_3","Production_Company_4","Production_Company_5","Production_Company_6","Production_Company_7","Production_Company_8","Production_Company_9","Production_Company_10","Production_Company_11","Production_Company_12","Production_Company_13","Production_Company_14","Production_Company_15","Production_Company_16","Production_Company_17","Production_Company_18","Production_Company_19","Production_Company_20","Production_Company_21","Production_Company_22","Production_Company_23","Production_Company_24","Production_Company_25","Production_Company_26","Production_Company_27","Production_Countries_1","Production_Countries_2","Production_Countries_3","Production_Countries_4","Production_Countries_5","Production_Countries_6","Production_Countries_7","Production_Countries_8","Production_Countries_9","Production_Countries_10","Production_Countries_11","Production_Countries_12","Production_Countries_13","Production_Countries_14","Production_Countries_15","Production_Countries_16","Production_Countries_17","Production_Countries_18","Production_Countries_19","Production_Countries_20","Production_Countries_21","Production_Countries_22","Production_Countries_23","Production_Countries_24","Production_Countries_25","Production_Countries_26","release_date","revenue","runtime","Spoken_Language_1","Spoken_Language_2","Spoken_Language_3","Spoken_Language_4","Spoken_Language_5","Spoken_Language_6","Spoken_Language_7","Spoken_Language_8","Spoken_Language_9","Spoken_Language_10","Spoken_Language_11","Spoken_Language_12","Spoken_Language_13","Spoken_Language_14","Spoken_Language_15","Spoken_Language_16","Spoken_Language_17","Spoken_Language_18","Spoken_Language_19","Spoken_Language_20","status","tagline","title","video","vote_average","vote_count","profit","movies.data$id"
"4193",4194,FALSE,"City Slickers Collection",2.7e+07,"Action","Adventure","Comedy","Drama","Western",NA,NA,NA,NA,NA,"","1406","tt0101587","en","City Slickers","New York meets the west in this comedy starring Billy Crystal. Three New York business men decide to take a 'Wild West' vacation that turns out to not be the relaxing vacation they had envisioned.","7.334686","/9utnPWr4aaZma19owcEXBo3OLcu.jpg","Columbia Pictures","New Line Cinema","Castle Rock Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-06-07,179033791,112,"English"," Deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Yesterday They Were Businessmen. Today They're Cowboys. Tomorrow They'll Be Walking Funny.","City Slickers",FALSE,6.2,232,152033791,"1406"
"4198",4199,FALSE,"",1.5e+07,"Thriller","Crime","Drama",NA,NA,NA,NA,NA,NA,NA,"","1632","tt0095647","en","Mississippi Burning","Two FBI agents investigating the murder of civil rights workers during the 60s seek to breach the conspiracy of silence in a small Southern town where segregation divides black and white. The younger agent trained in FBI school runs up against the small town ways of his, former Sheriff, partner.","13.971865","/uSukdUQwx0l4rRuMXNqugR1tu4n.jpg","Orion Pictures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-12-08,34604000,128,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","1964. When America was at war with itself.","Mississippi Burning",FALSE,7.4,336,19604000,"1632"
"4205",4206,FALSE,"",1.4e+07,"Crime","Comedy",NA,NA,NA,NA,NA,NA,NA,NA,"","11896","tt0094142","en","Throw Momma from the Train","Larry Donner is a author and writing professor who tutors people who want to write books. Larry's life has become a misery when his Ex-wife has published a book he wrote under her name and has gotten rich over it. Owen Lift, one of Larry's students offers Larry to kill Larry's Ex-wife and in return Owen wants Larry to kill his horrible mother. Larry thinks it is a joke, until he learns Owen killed his Ex-wife and he has become the prime suspect.","6.573364","/mfNI6ILTjDxNBVGcoRq0VZUrxuX.jpg","Orion Pictures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987-12-11,57915972,88,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Owen asked his friend, Larry, for a small favor...","Throw Momma from the Train",FALSE,6,147,43915972,"11896"
"4212",4213,FALSE,"",2.2e+07,"Action","Comedy",NA,NA,NA,NA,NA,NA,NA,NA,"","11090","tt0255798","en","The Animal","When loser Marvin Mange is involved in a horrible car accident, he's brought back to life by a deranged scientist as half man and half animal. His newfound powers are awesome -- but their adverse side effects could take over his life. Now, Marvin must fight to control his crazy primal urges around his new squeeze, Rianna, and his rival, Sgt. Sisk, who both think he's one cool cat.","8.473369","/oNxEXmKTZtECHs0bQbI6dQoXYMV.jpg","Revolution Studios","Happy Madison Productions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-06-01,84772742,84,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","He wasn't much of a man... Now he's not much of an animal!","The Animal",FALSE,4.6,310,62772742,"11090"
"4215",4216,FALSE,"",8e+07,"Action","Comedy","Science Fiction",NA,NA,NA,NA,NA,NA,NA,"","9397","tt0251075","en","Evolution","A comedy that follows the chaos that ensues when a meteor hits the Earth carrying alien life forms that give new meaning to the term ""survival of the fittest."" David Duchovny, Orlando Jones, Seann William Scott, and Julianne Moore are the only people standing between the aliens and world domination... which could be bad news for the Earth.","5.395127","/zGwNEPgfCXthetspyTHwvTEbfJG.jpg","DreamWorks SKG","Columbia Pictures Corporation","Montecito Picture Company"," The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-06-08,98376292,101,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Coming to wipe that silly smile off your planet.","Evolution",FALSE,5.7,650,18376292,"9397"
"4216",4217,FALSE,"",1.02e+08,"Action","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,"","9705","tt0244244","en","Swordfish","Rogue agent Gabriel Shear is determined to get his mitts on $9 billion stashed in a secret Drug Enforcement Administration account. He wants the cash to fight terrorism, but lacks the computer skills necessary to hack into the government mainframe. Enter Stanley Jobson, a n'er-do-well encryption expert who can log into anything.","9.646208","/uJdI3eau8BHgTsrUbAeccnKn0ez.jpg","Village Roadshow Pictures","NPV Entertainment","Silver Pictures","Warner Bros.","Jonathan Krane Group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australia"," United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-06-07,147080413,99,"Deutsch"," English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Log On. Hack In. Go Anywhere. Get Everything.","Swordfish",FALSE,6.1,946,45080413,"9705"
"4223",4224,FALSE,"",2.4e+07,"Action","Thriller","Crime",NA,NA,NA,NA,NA,NA,NA,"","1089","tt0102685","en","Point Break","In the coastal town of Los Angeles, a gang of bank robbers call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. The F.B.I. believes that the members of the gang could be surfers and send young agent Johnny Utah undercover at the beach to mix with the surfers and gather information.","11.453093","/zAt6vprHgkQCaQ5n6qwfXd4zAcD.jpg","20th Century Fox","Largo Entertainment","JVC Entertainment Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-12,83531958,120,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Twenty-seven banks in three years. Anything to catch the perfect wave.","Point Break",FALSE,6.9,861,59531958,"1089"
"4226",4227,FALSE,"",2.3e+07,"Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"","17494","tt0105699","en","Unlawful Entry","After a break-in at their house, a couple gets help from one of the cops that answered their call. He helps them install the security system, and begins dropping by on short notice and unofficial patrol, and spends a lot of time discussing the couple's problems with the wife. The husband begins wondering if they're getting too much help.","6.477258","/mLXiHjg3jAOQf3IM3qN0YQNtmAa.jpg","20th Century Fox","Largo Entertainment","JVC Entertainment Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Japan"," United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-06-26,57138719,117,"English"," Español",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Desire, passion, lust... It's a deadly game of obsession.","Unlawful Entry",FALSE,5.8,63,34138719,"17494"
"4233",4234,FALSE,"",2.1e+07,"Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA,"","9576","tt0084805","en","Tootsie","Michael Dorsey is an unemployed actor with an impossible reputation. In order to find work and fund his friend's play he dresses as a woman, Dorothy Michaels, and lands the part in a daytime drama. Dorsey loses himself in this woman role and essentially becomes Dorothy Michaels, captivating women all around the city and inspiring them to break free from the control of men and become more like Dorsey's initial identity. This newfound role, however, lands Dorsey in a hot spot between a female friend/'lover,' a female co-star he falls in love with, that co-star's father who falls in love with him, and a male co-star who yearns for his affection.","8.451188","/ngyCzZwb9y5sMUCig5JQT4Y33Q.jpg","Columbia Pictures Corporation","Mirage Enterprises","Punch Productions","Delphi Films","The Criterion Collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-12-16,177200000,116,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","What do you get when you cross a hopelessly straight starving actor with a dynamite red sequined dress? You get America's hottest new actress.","Tootsie",FALSE,6.9,429,156200000,"9576"
"4238",4239,FALSE,"Atlantis Collection",1.2e+08,"Animation","Family","Adventure","Science Fiction",NA,NA,NA,NA,NA,NA,"http://www.disney.com/atlantis","10865","tt0230011","en","Atlantis: The Lost Empire","The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea.","10.901602","/9kbLIQEj99g5Hb9g1IG3VNdtt3h.jpg","Walt Disney Pictures","Walt Disney Feature Animation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-06-02,186053725,95,"English"," Français"," Español",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Atlantis is waiting...","Atlantis: The Lost Empire",FALSE,6.7,1257,66053725,"10865"
"4239",4240,FALSE,"Tomb Raider Collection",1.15e+08,"Adventure","Fantasy","Action","Thriller",NA,NA,NA,NA,NA,NA,"","1995","tt0146316","en","Lara Croft: Tomb Raider","English aristocrat Lara Croft is skilled in hand-to-hand combat and in the middle of a battle with a secret society. The shapely archaeologist moonlights as a tomb raider to recover lost antiquities and meets her match in the evil Powell, who's in search of a powerful relic.","15.851722","/m6aodY7SrvlTRiUFkxClaNAIQT.jpg","Paramount Pictures","Toho-Towa","Mutual Film Company","Lawrence Gordon Productions","British Broadcasting Corporation (BBC)","Marubeni","Eidos Interactive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-06-11,274703340,100,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Born into Wealth. Groomed by the Elite. Trained for Combat.","Lara Croft: Tomb Raider",FALSE,5.7,2235,159703340,"1995"
"4240",4241,FALSE,"Dr. Dolittle Collection",7e+07,"Comedy","Family","Romance","Fantasy",NA,NA,NA,NA,NA,NA,"","10808","tt0240462","en","Dr. Dolittle 2","Dr. John Dolittle the beloved doctor is back, but this time around he plays cupid to bumbling circus bear Archie as he's so smitten by a Pacific Western bear female, Ava. Dr. Dolittle must help a group of forest creatures to save their forest. But with the aid of his mangy, madcap animal friends, Dr. Dolittle must teach Archie the ways of true romance in time to save his species and his home before their habit is gone. So John held a meeting for every animal in the forest to not give up without a fight no matter what kind of animal expression they have and everyone agrees to do it and save their home.","7.906683","/aecUc1LobMV56Doj99ZvJR2dXgG.jpg","Twentieth Century Fox Film Corporation","Joseph M. Singer Entertainment","Davis Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-06-22,176104344,87,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","The doctor is in again.","Dr. Dolittle 2",FALSE,4.9,422,106104344,"10808"
"4241",4242,FALSE,"The Fast and the Furious Collection",3.8e+07,"Action","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,"","9799","tt0232500","en","The Fast and the Furious","Domenic Toretto is a Los Angeles street racer suspected of masterminding a series of big-rig hijackings. When undercover cop Brian O'Conner infiltrates Toretto's iconoclastic crew, he falls for Toretto's sister and must choose a side: the gang or the LAPD.","1.406181","/x4So4OkqnjfOSBCCNd5uosMmQiB.jpg","Universal Pictures","Original Film","Ardustry Entertainment","Mediastream Film GmbH & Co. Productions KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Germany"," United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-06-22,207283925,106,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Live life 1/4 mile at a time.","The Fast and the Furious",FALSE,6.6,3485,169283925,"9799"
"4242",4243,FALSE,"",1e+08,"Drama","Science Fiction","Adventure",NA,NA,NA,NA,NA,NA,NA,"","644","tt0212720","en","A.I. Artificial Intelligence","A robotic boy, the first programmed to love, David is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin.","13.249364","/wnUAcUrMRGPPZUDroLeZhSjLkuu.jpg","DreamWorks SKG","Amblin Entertainment","Stanley Kubrick Productions","Warner Bros.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-06-29,235926552,146,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not.","A.I. Artificial Intelligence",FALSE,6.8,2011,135926552,"644"
"4243",4244,FALSE,"",1.6e+07,"Crime","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,"","16161","tt0255819","en","Baby Boy","The story of Jody, a misguided, 20-year-old African-American who is really just a baby boy finally forced-kicking and screaming to face the commitments of real life. Streetwise and jobless, he has not only fathered two children by two different women-Yvette and Peanut but still lives with his own mother. He can't seem to strike a balance or find direction in his chaotic life.","9.503157","/m7p3qFZsULnvOM5GkFCGCAueeSX.jpg","Columbia Pictures","New Deal Productions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-06-27,29381649,130,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Just a Baby Boy.","Baby Boy",FALSE,7.3,57,13381649,"16161"
"4244",4245,FALSE,"",1.3e+07,"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,"","10691","tt0250224","en","Crazy/Beautiful","At Pacific Palisades High, a poor Latino falls hard for a troubled girl from the affluent neighborhood.","6.236729","/15rhm6ae5lQJgil73h1EtgVML42.jpg","Touchstone Pictures","Ufland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-06-29,16929123,99,"Español"," English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","When it's real. When it's right. Don't let anything stand in your way.","Crazy/Beautiful",FALSE,6.6,98,3929123,"10691"
"4258",4259,FALSE,"Cats & Dogs Collection",6e+07,"Comedy","Family",NA,NA,NA,NA,NA,NA,NA,NA,"http://catsanddogsmovie.warnerbros.com/cmp/main.html","10992","tt0239395","en","Cats & Dogs","When a professor develops a vaccine that eliminates human allergies to dogs, he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction, led by Mr. Tinkles, squares off against wide-eyed puppy Lou and his canine cohorts.","8.142251","/1RLlzNwnrpMMNFt71OVFAnJp6ww.jpg","Village Roadshow Pictures","NPV Entertainment","Mad Chance","Zide-Perry Productions","Warner Bros.","BenderSpink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-07-04,93375151,87,"English"," Français"," Deutsch"," ภาษาไทย",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Things Are Gonna Get Hairy!","Cats & Dogs",FALSE,5,363,33375151,"10992"
"4259",4260,FALSE,"",2.5e+07,"Action","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,"","2140","tt0271027","en","Kiss of the Dragon","Liu Jian, an elite Chinese police officer, comes to Paris to arrest a Chinese drug lord. When Jian is betrayed by a French officer and framed for murder, he must go into hiding and find new allies.","7.637345","/eOBwDUiDLmz1BX8PQL5U1tQloRB.jpg","Twentieth Century Fox Film Corporation","Current Entertainment","Immortal Entertainment","Canal+","EuropaCorp","Quality Growth International Ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France"," United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-07-06,64437847,98,"English"," Français"," 普通话",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Kiss Fear Goodbye","Kiss of the Dragon",FALSE,6.4,304,39437847,"2140"
"4260",4261,FALSE,"Scary Movie Collection",4.5e+07,"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","4248","tt0257106","en","Scary Movie 2","While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called ""Hell House,"" and murderous high jinks ensue.","10.869056","/tSGWhSResV2Cnqqr91TGKyZzf79.jpg","Gold/Miller Productions","Wayans Bros. Entertainment","Dimension Films","Brad Grey Pictures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada"," United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-07-04,141220678,83,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","No More Mercy. No More Shame. No More Sequels - Honest! - We Lied.","Scary Movie 2",FALSE,5.4,1019,96220678,"4248"
"4268",4269,FALSE,"Cannonball Run Collection",1.8e+07,"Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","11286","tt0082136","en","The Cannonball Run","A cross-country road race is based on an actual event, the Cannonball Baker Sea to Shining Sea Memorial Trophy Dash, organized by Brock Yates to protest the 55 mph speed limit then in effect in the U.S. The Cannonball was named for Erwin G. ""Cannonball"" Baker, who in the roaring 20's rode his motorcycle across the country. Many of the characters are based on ruses developed by real Cannonball racers over the several years that the event was run.","6.693055","/5OkKXKDtZDDJADWu88wQa1nynsQ.jpg","Eurasia Investments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-06-19,72179579,95,"日本語"," 普通话"," العربية"," English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","You'll root for them all...but you'll never guess who wins.","The Cannonball Run",FALSE,6.2,161,54179579,"11286"
"4281",4282,FALSE,"",1.4e+07,"Thriller","Comedy",NA,NA,NA,NA,NA,NA,NA,NA,"","19200","tt0105378","en","Shadows and Fog","With a serial strangler on the loose, a bookkeeper wanders around town searching for the vigilante group intent on catching the killer.","8.678022","/8ggla5zLZhbaobL6U9IYvfiQ7yr.jpg","Orion Pictures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-12-05,2735731,85,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","","Shadows and Fog",FALSE,7,80,-11264269,"19200"
"4314",4315,FALSE,"",1e+07,"Action","Adventure","Comedy",NA,NA,NA,NA,NA,NA,NA,"","13938","tt0089461","en","The Last Dragon","A young man searches for the ""master"" to obtain the final level of martial arts mastery known as the glow. Along the way he must fight an evil martial arts expert and rescue a beautiful singer from an obsessed music promoter.","6.830599","/RZQF0DGwlC0XTYNKjNSjpkSlQn.jpg","TriStar Pictures","Motown Productions","Delphi III Productions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-03-22,25754284,108,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","His family thinks he's crazy. His enemies think he's no challenge. But she knows he's THE LAST DRAGON.","The Last Dragon",FALSE,6.4,71,15754284,"13938"
"4315",4316,FALSE,"",1.6e+07,"Science Fiction",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","10540","tt0082869","en","Outland","Thriller about an honest marshal in a corrupt mining colony on Io, Jupiter's sunless third moon, who is determined to confront a violent drug ring even though it may cost him his life. After his wife angrily deserts him, he waits alone for the arrival of killers hired by the company to eliminate him. Futuristic remake of ""High Noon"".","6.918821","/vft2bkcEqBsEKyBlAxRPcpnJ7ig.jpg","The Ladd Company","Outland Productions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-05-22,17374595,112,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","On Jupiter's moon something deadly is happening.","Outland",FALSE,6.2,153,1374595,"10540"
"4318",4319,FALSE,"Final Fantasy Collection",1.37e+08,"Adventure","Action","Animation","Fantasy","Science Fiction","Thriller",NA,NA,NA,NA,"","2114","tt0173840","en","Final Fantasy: The Spirits Within","Led by a strange dream, scientist Aki Ross struggles to collect the eight spirits in the hope of creating a force powerful enough to protect the planet. With the aid of the Deep Eyes Squadron and her mentor, Dr. Sid, Aki must save the Earth from its darkest hate and unleash the spirits within.","10.223851","/ixu5L3L55wJPVUGAfwdE4qVwWbi.jpg","Columbia Pictures","Square USA","Chris Lee Productions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Japan"," United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-07-02,85131830,106,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Unleash a new reality","Final Fantasy: The Spirits Within",FALSE,5.9,441,-51868170,"2114"
